trace_index,baseline_trace,avg_no,avg_with,gain,n,avg_prefix_len,baseline_len
70,0 5 4 8 27 34 5 3 5 0 5 1 8 5 0 5 9 7 12 0 25 12 5 3 5 7 9 10 1 5 0 5 35 6 7 10 5 13 14 15 16 0 4 35 8 12 6 11 33 10 7 19 20 31 5 23,0.5065818181818182,0.8587454545454546,0.35216363636363635,55,28.0,56.0
71,0 7 12 0 6 1 3 33 13 11 14 13 14 0 33 26 25 28 4 35 8 6 13 14 16 0 6 4 26 8 19 20 21 0 1 19 20 22 19 20 31 23,0.5213658536585366,0.8734146341463416,0.35204878048780497,41,21.0,42.0
72,0 3 10 1 12 5 6 5 7 0 10 12 3 5 9 7 5 0 11 2 3 26 5 24 5 0 7 35 8 27 5 34 25 13 5 5 28 14 13 14 16 0 19 20 22 5 0 6 12 7 26 4 19 20 31 23,0.4768909090909091,0.828890909090909,0.3519999999999999,55,28.0,56.0
73,0 5 25 3 24 1 0 5 32 33 25 5 0 1 4 26 5 35 6 7 5 8 0 29 5 6 8 0 26 5 6 8 5 0 27 13 5 14 16 0 5 3 7 10 0 27 17 18 10 5 4 5 26 0 5 19 20 21 23,0.4716551724137931,0.8231724137931035,0.35151724137931034,58,29.5,59.0
74,0 0 5 27 7 10 5 0 3 0 8 7 5 10 6 5 12 3 0 5 8 1 3 26 5 35 6 0 3 4 5 29 5 26 32 34 6 27 5 0 10 13 14 13 5 5 14 16 0 7 19 20 22 19 20 21 23,0.43892857142857145,0.7903035714285714,0.351375,56,28.5,57.0
75,0 12 5 10 33 5 0 4 5 27 34 28 5 25 0 7 0 7 5 28 10 25 0 4 7 17 5 29 5 18 0 1 5 3 11 5 27 13 34 14 15 5 16 0 4 10 19 12 20 7 22 23,0.4464509803921569,0.7975686274509804,0.35111764705882353,51,26.0,52.0
76,0 8 6 30 33 29 0 26 12 7 11 4 33 10 1 5 3 13 14 15 13 14 15 13 14 16 0 7 19 20 21 19 20 22 0 3 7 19 9 10 12 20 22 23,0.5830930232558139,0.9340697674418604,0.3509767441860465,43,22.0,44.0
77,0 3 11 7 32 33 29 30 0 7 1 3 13 14 15 0 1 12 8 7 5 6 25 11 10 33 4 13 14 16 0 29 4 26 12 19 7 10 5 20 22 19 20 31 23,0.5074545454545455,0.8578181818181818,0.3503636363636363,44,22.5,45.0
78,0 27 5 24 0 8 12 5 7 5 1 3 10 5 0 6 8 1 5 3 7 5 33 11 0 3 7 5 5 4 10 8 12 17 18 0 13 5 14 5 13 14 15 16 0 5 5 1 17 18 19 20 31 0 7 0 5 8 19 20 31 5 23,0.5080483870967741,0.8578064516129031,0.349758064516129,62,31.5,63.0
79,0 12 17 18 5 7 30 5 10 0 33 1 3 5 27 13 14 5 15 5 0 4 30 5 7 29 5 18 12 0 10 8 35 6 5 5 13 14 16 0 5 3 17 8 0 5 6 1 3 5 0 4 1 3 12 27 9 7 10 5 5 19 5 20 22 5 19 20 21 23,0.459304347826087,0.8086666666666666,0.34936231884057967,69,35.0,70.0
80,0 1 12 7 11 33 13 14 0 4 8 12 6 7 10 13 14 16 0 12 28 9 7 8 10 0 3 12 10 7 6 19 8 20 22 19 5 20 31 23,0.5222051282051282,0.8699487179487179,0.34774358974358965,39,20.0,40.0
81,0 3 7 10 4 26 0 12 8 3 24 35 6 10 0 4 6 26 5 8 1 13 3 2 24 14 13 14 15 13 14 16 0 4 29 30 5 1 6 25 19 28 20 22 19 20 21 19 20 31 23,0.47536,0.82176,0.34640000000000004,50,25.5,51.0
82,0 12 5 10 30 29 5 0 5 9 7 8 6 0 7 1 25 5 3 17 5 18 5 0 28 5 35 8 35 6 5 0 10 11 33 25 2 3 1 35 8 9 7 6 13 14 15 5 5 5 5 16 0 4 0 12 19 20 22 23,0.47952542372881357,0.8253389830508474,0.34581355932203384,59,30.0,60.0
83,0 26 3 28 12 25 7 10 0 4 10 27 12 34 5 26 1 6 3 7 24 13 14 16 0 8 7 10 28 4 25 12 19 20 5 21 23,0.4168611111111111,0.761888888888889,0.3450277777777778,36,18.5,37.0
84,0 29 5 26 4 0 1 5 3 7 24 0 17 5 3 0 3 5 0 3 8 5 35 6 0 4 5 6 8 5 1 3 24 13 5 5 14 15 13 14 16 0 3 35 6 8 7 1 10 26 19 4 20 21 19 20 31 5 23,0.534051724137931,0.8790344827586207,0.3449827586206897,58,29.5,59.0
85,0 30 3 5 24 5 0 6 12 5 7 5 0 5 5 27 17 18 29 30 0 12 0 33 6 8 5 1 10 5 29 12 7 5 0 13 14 5 16 0 12 0 27 5 25 8 5 3 6 5 0 1 10 17 12 26 5 5 19 4 20 22 5 23,0.500031746031746,0.8449523809523809,0.34492063492063485,63,32.0,64.0
86,0 5 0 1 0 1 5 0 26 5 10 29 30 5 0 5 26 7 27 10 3 12 5 1 0 5 5 35 8 10 12 7 17 13 5 18 14 16 0 6 12 8 7 19 10 20 21 23,0.4496382978723404,0.792,0.34236170212765965,47,24.0,48.0
87,0 17 0 10 5 0 5 27 4 26 35 8 6 11 17 5 5 18 7 10 0 7 5 35 8 5 0 7 0 1 5 30 29 4 5 33 11 0 1 7 5 2 3 10 12 13 14 5 16 0 5 6 3 0 11 17 4 5 18 30 7 29 5 12 0 27 19 20 5 5 31 23,0.4222112676056338,0.7634225352112677,0.34121126760563386,71,36.0,72.0
88,0 8 3 11 2 24 25 28 7 10 0 8 1 13 14 5 0 12 4 1 26 13 14 13 14 16 0 5 33 10 12 19 20 22 19 20 22 19 20 21 23,0.544925,0.8853500000000001,0.3404250000000001,40,20.5,41.0
89,0 4 5 26 12 7 1 35 8 35 6 10 13 14 13 14 15 16 0 8 33 11 5 5 6 19 20 22 0 4 5 0 17 27 34 25 10 5 19 5 5 12 20 7 21 23,0.3983111111111111,0.7386666666666667,0.3403555555555556,45,23.0,46.0
90,0 12 5 7 33 6 4 2 3 26 25 8 28 10 1 24 13 14 13 14 15 16 0 3 12 28 25 7 1 10 19 20 22 5 19 20 21 23,0.5894054054054054,0.9292972972972973,0.33989189189189184,37,19.0,38.0
91,0 11 5 5 27 17 34 28 3 25 6 5 0 8 5 0 6 5 1 4 3 0 7 6 12 5 13 5 14 16 0 10 5 17 18 0 0 5 1 27 3 5 0 26 4 5 7 6 5 19 5 8 20 31 23,0.4783148148148148,0.8181296296296297,0.33981481481481485,54,27.5,55.0
92,0 8 3 24 1 4 26 5 0 6 12 7 10 13 14 16 0 4 25 5 8 28 0 12 0 5 1 25 0 7 27 34 3 24 5 19 5 20 22 5 23,0.463525,0.803275,0.33974999999999994,40,20.5,41.0
93,0 10 0 4 5 12 7 10 0 25 0 7 4 5 26 0 24 4 6 5 27 5 3 34 0 1 3 25 5 28 5 0 33 2 24 7 10 5 4 1 3 13 14 5 15 5 5 13 14 16 0 24 4 26 0 6 32 33 30 11 19 20 22 5 19 20 21 23,0.43491044776119403,0.7744925373134328,0.3395820895522388,67,34.0,68.0
94,0 11 3 35 8 28 1 25 4 29 30 6 7 12 5 9 10 13 14 15 16 0 3 12 35 6 8 2 24 28 25 0 3 19 20 22 23,0.478,0.8170555555555556,0.33905555555555567,36,18.5,37.0
95,0 7 35 6 8 0 26 4 3 12 8 7 6 1 0 5 25 35 6 8 10 1 12 30 7 13 14 16 0 0 3 17 35 8 19 20 22 23,0.41964864864864865,0.7584324324324324,0.33878378378378377,37,19.0,38.0
96,0 10 12 33 11 5 7 1 13 3 24 14 15 0 8 33 11 25 28 3 12 24 26 4 5 13 14 16 0 7 1 3 0 6 26 3 4 10 19 5 12 20 7 22 19 20 21 23,0.5034893617021277,0.8415744680851064,0.33808510638297873,47,24.0,48.0
97,0 7 1 0 4 35 8 6 13 14 0 26 6 13 14 13 14 16 0 24 35 8 6 19 20 21 0 11 7 26 1 4 33 19 20 22 19 20 5 22 23,0.5479499999999999,0.8854,0.33745,40,20.5,41.0
