trace_index,baseline_trace,n,avg_no,avg_with,gain,x,y
116,0 1 977 10,15,0.5693333333333332,0.5953333333333333,0.026000000000000023,-0.28148693357789284,-0.165898596626024
117,0 1 988 10,15,0.2693333333333333,0.29533333333333334,0.026000000000000023,-0.32890378277923993,-0.1221922613523423
118,0 1013 2 3 21 12 12 13,35,0.5028571428571429,0.5285714285714286,0.02571428571428569,0.5333216651320255,0.313220657637696
119,0 885 1 9 10,20,0.475,0.5,0.025000000000000022,-0.3904939018438464,-0.3628535357071719
120,0 946 1 9 10,20,0.74175,0.76675,0.025000000000000022,-0.38111683765202636,-0.36753169260886137
121,0 1 804 11 12 13 805,25,0.4168,0.44179999999999997,0.024999999999999967,-0.29533250259498617,0.42261912350312714
122,1 2 3 22 12 13 16 10,30,0.5143333333333333,0.5381666666666667,0.023833333333333373,0.33638375659234737,0.43340522729545844
123,0 1 9 728 729,20,0.17425,0.197,0.02275000000000002,0.03657353174216805,-0.4920107802097836
124,0 1 2 11 12 737,25,0.3858,0.4066,0.02080000000000004,-0.16026377169294556,0.37500306602647376
125,0 1 2 11 12 933,25,0.3636,0.38439999999999996,0.020799999999999985,-0.16663186444935416,0.3745883060504136
126,0 949 949 9 10,20,0.5417500000000001,0.5625,0.020749999999999935,-0.18650297427577367,-0.5884248661316961
127,0 1 9 9 860,20,0.288,0.308,0.020000000000000018,0.024378297209392278,-0.48131672964277344
128,0 1 9 9 968,20,0.15475,0.17475000000000002,0.020000000000000018,-0.5183163038869658,-0.020649402852475903
129,0 1 938 11 12 13,25,0.738,0.7572,0.019199999999999995,-0.25400896762136915,0.38940453945538467
130,0 1 2 11 721 13,30,0.2823333333333334,0.30066666666666664,0.018333333333333257,-0.09570258909504778,0.3937537790529096
131,862 1 2 3 18 12 13 16 10,40,0.9189999999999999,0.936875,0.017875000000000085,0.26307908566407373,0.3637300149840889
132,0 1 705 11 12 706,25,0.2816,0.29900000000000004,0.017400000000000027,-0.3885369676245102,0.34336684954555197
133,0 1 792 11 12 793,25,0.36579999999999996,0.3832,0.017400000000000027,-0.38587617725791973,0.3495600902796332
